RECEPTOR_LIGAND,pIC50,     ESTAT,    HB,    VDW,    DSOLV
    3pm0_ab_423_BC,6.82390874094432,0.0018,-0.532,-13.1306,0.9989
    3pm0_ab_424_BC,7.67778070526608,0.0374,-0.4587,-11.763,0.9389
    3pm0_ab_425_BC,8.69897000433602,-0.0443,-0.4536,-10.8309,1.4448
    3pm0_ab_426_BC,5.18708664335714,-0.1075,-0.1074,-13.8503,2.7158
    3pm0_ab_427_BC,7.60205999132796,-0.0603,-1.7048,-11.7615,2.959
    3pm0_ab_428_BC,7.76955107862173,-0.0943,-1.4964,-11.865,2.7824
    3pm0_ab_429_BC,7.61978875828839,-0.1429,-1.5556,-13.0159,3.8381
    3pm0_ab_430_BC,7.60205999132796,-0.0895,-1.4578,-11.3146,2.9308
    3pm0_ab_431_BC,7.53760200210104,-0.0816,-1.3695,-12.4339,3.2984
    3pm0_ab_432_BC,7.32790214206428,-0.1457,-1.5741,-11.9775,3.4976
    3pm0_ab_433_BC,7.11350927482752,-0.2026,-2.1531,-12.3117,4.1178
    3pm0_ab_434_BC,7.10237290870956,-0.3231,-1.6705,-11.9383,3.5993
    3pm0_ab_435_BC,5.55752023093555,-0.2161,-2.1551,-12.9838,4.6685
    3pm0_ab_436_BC,5.35654732351381,-0.1798,-0.9148,-11.5812,2.7804
    3pm0_ab_437_BC,5.20760831050175,-0.141,-0.723,-11.0556,2.2544
    3pm0_ab_438_BC,5.67778070526608,0.0204,-0.3829,-11.3827,0.0631
    3pm0_ab_439_BC,4.27984069659404,-0.261,-1.0709,-15.5548,2.665
    3pm0_ab_444_BC,6.04575749056068,-0.0908,-0.972,-11.036,2.0632
    3pm0_ab_445_BC,5.68613277963085,-0.0859,-0.6076,-11.5881,1.853
    3pm0_ab_446_BC,5.22184874961636,-0.068,-0.583,-12.8608,1.9928
    3pm0_ab_447_BC,5.48148606012211,-0.1069,-0.0021,-14.429,2.6347
    3pm0_ab_448_BC,5.75202673363819,-0.0832,-0.5103,-12.5968,1.9948
    3pm0_ab_451_BC,6.22184874961636,-0.0241,-0.5837,-9.5317,1.1362
    3pm0_ab_452_BC,7.04575749056068,-0.0238,-0.5837,-9.5234,1.1319
    3pm0_ab_453_BC,6.69897000433602,-0.0433,-0.5397,-10.5964,1.7591
    3pm0_ab_454_BC,6.60205999132796,0.0055,-0.9992,-10.6047,1.8406
    3pm0_ab_455_BC,4.70553377383841,-0.0916,-1.5181,-12.5102,3.4161
    3pm0_ab_456_BC,4.45593195564972,-0.1031,-1.0734,-14.2553,3.6359
    3pm0_ab_457_BC,5.30102999566398,-0.1123,-1.0772,-11.8138,2.9166
    3pm0_ab_458_BC,5.22184874961636,-0.0095,-0.4257,-10.4613,2.5064
    3pm0_ab_459_BC,6,0.093,-0.5653,-11.1129,2.0032
